,sm_milford_1_weekday,sm_milford_10_weekday,sm_milford_11_weekday,sm_milford_12_weekday,sm_milford_13_weekday,sm_milford_14_weekday,sm_milford_15_weekday,sm_milford_16_weekday,sm_milford_17_weekday,sm_milford_18_weekday,sm_milford_19_weekday,sm_milford_2_weekday,sm_milford_20_weekday,sm_milford_21_weekday,sm_milford_3_weekday,sm_milford_4_weekday,sm_milford_5_weekday,sm_milford_6_weekday,sm_milford_7_weekday,sm_milford_8_weekday,sm_milford_9_weekday,sm_milford_1_weekend,sm_milford_10_weekend,sm_milford_11_weekend,sm_milford_12_weekend,sm_milford_13_weekend,sm_milford_14_weekend,sm_milford_15_weekend,sm_milford_16_weekend,sm_milford_17_weekend,sm_milford_18_weekend,sm_milford_19_weekend,sm_milford_2_weekend,sm_milford_20_weekend,sm_milford_21_weekend,sm_milford_3_weekend,sm_milford_4_weekend,sm_milford_5_weekend,sm_milford_6_weekend,sm_milford_7_weekend,sm_milford_8_weekend,sm_milford_9_weekend
1985-08-30 00:00:00,0.00040306483081077864,0.0017607552747134876,0.0002119718182487123,0.003663082005360531,0.0025603637187485806,0.002597422003089938,0.0034821434277465197,0.001967219638764663,0.0016063308252525985,0.0019980978408610647,0.000595128595294404,0.00028418615074074076,0.00045250700422113293,0.009252778452989425,0.0016785678802552556,0.04915097310858552,0.003337969764804857,0.0009246356633418711,0.003452443702424512,0.003316058251660559,0.00012036714724480577,0.00025077349266247384,0.0036731308898305067,0.0021073541433145005,0.005647271187805016,0.00288080028991465,0.0017535709721871041,0.0030609094497688312,0.0027523994786401744,0.0032300655631646025,0.0029225431279979925,0.0009009125585317459,0.0005785705204983264,0.0036655404195302522,0.014097515040619953,0.0015715344537545787,0.048147791768302035,0.0020471652769249904,7.570820000000001e-05,0.0058456752844901596,0.00907333444014465,0.0009717638171296297
1985-08-30 00:30:00,0.0002692229067248338,0.0019591912590942533,0.0004708086278513612,0.0026243026624576237,0.0030572425706300206,0.002778688234312063,0.003016013885456968,0.00175173168408732,0.0015397976980712814,0.0015201984905112436,0.0003579859342147093,0.00035074627657407406,0.0005434912029094046,0.008163865272644372,0.001574658011521788,0.04612811590459315,0.002501149464204236,0.0011942478281713937,0.003380095146049529,0.003133277915005658,0.0003886363592633654,0.00028212017924528297,0.004315585864218455,0.0017125594054613934,0.004243523346542408,0.0024505751082013723,0.002317534822988211,0.0025994481861226146,0.0020469852204525354,0.0022402354236238007,0.0023072630393050227,0.0010065095954946632,0.00040316499505000183,0.0025893714585294254,0.011661808432753856,0.0017724899228098293,0.04569805707028329,0.0014420762177752625,9.593711058201059e-05,0.007146342214191864,0.006697397484732258,0.000786670119830247
1985-08-30 01:00:00,0.0002451521807435106,0.0016796436377278575,0.0004559761714495952,0.0020400808519734194,0.0027170761186250995,0.002554797368774205,0.0023827337518998112,0.0014739572739171682,0.0014024135755808071,0.0014603529020584293,0.0002567043584284035,0.00028701352487654324,0.0006029506235764509,0.007028093388048731,0.001533372457119734,0.03979280791479638,0.0021662187646810265,0.001008157847771989,0.0029658437429288306,0.002799094827309813,0.00032827921903314997,0.0002140039615653389,0.004948848350449383,0.0011552510518518517,0.0029570134043144674,0.00244781856324095,0.0019295361084671313,0.0024107343653240435,0.001973872940393501,0.0018299665220662398,0.0019069736219346732,0.0007633884267583468,0.0003034299624582123,0.0019451027934452292,0.010025914855638432,0.0019176394209883686,0.03894312165136051,0.001157810480728221,9.860759382716049e-05,0.0073548265711171215,0.0054494219456588016,0.0007766443013174071
1985-08-30 01:30:00,0.00023211480700396353,0.0016870111600515085,0.0004485294775225349,0.0018904882228316005,0.002435244413238305,0.0024243967397137383,0.0022105362076723623,0.0014318469355056292,0.0013763635932296878,0.0012381393234594063,0.00019252826882130264,0.00027524253544753086,0.0005759841389557241,0.006609917908962454,0.0013695068652059166,0.03176056994870494,0.002020700747684541,0.0008490615623934874,0.002747390577006273,0.002573208797791162,0.0003115650137554406,0.000171117197327044,0.004210208978232517,0.0010564216721280601,0.002313064441367164,0.0021716023027791532,0.0017907228751455383,0.002131475503391181,0.0016755783787844047,0.0015919392631828023,0.001545806411601664,0.0006785365554358235,0.00024909851927552504,0.0015306128170792994,0.00792939068113112,0.0016571674655428638,0.030855766877140766,0.0009126457317796874,0.00011391280092592593,0.006232481570879907,0.004654439833086694,0.001204435461276152
1985-08-30 02:00:00,0.00016136024108367628,0.0018026899098633707,0.00042659415467485276,0.0011580780507060272,0.0026612416138215656,0.0021995813836642106,0.0018404249618506618,0.0012491868895123618,0.001239658364193568,0.000889909118982075,5.426114777547941e-05,0.00024296140016975308,0.00048429979748649746,0.005231220357170857,0.0012126873039728083,0.02187871421362658,0.0013797075839181753,0.0006179026465580196,0.0021867679883623994,0.0019036437064218377,0.00032806420368317323,0.00019224645125786162,0.0036974484860844994,0.0005921386405367231,0.0010862155421431825,0.0021412203034759667,0.0015142253011600649,0.002058541144848584,0.0018022086877305986,0.001120242105262834,0.0009146178414665727,0.0005660633118842362,0.0003207985275633695,0.0007074371957183936,0.005325132545534747,0.0018181066097927112,0.02070228074875108,0.0004162705125955208,9.498575092592592e-05,0.005037996875975692,0.0023899617332357164,0.0011383879430469854
1985-08-30 02:30:00,0.00025855122700188613,0.0017066750547048537,0.00035288450631208604,0.001128428333970719,0.002563226267893705,0.0018309741923621043,0.0015534069638434103,0.0012803135094493145,0.0012039946398071943,0.0007436468707293444,3.292471463750988e-05,0.00018213196447530865,0.0003502847375736434,0.0038994153597826284,0.001049759120002455,0.012815787196537998,0.0011311550515379356,0.0002778021993933588,0.0016961380716509677,0.0013820553370866738,0.0003925852971538612,0.00012439476257861636,0.0025863463698886425,0.0005396421284756841,0.0005456592042070706,0.0019101427623786343,0.0012288699157868847,0.0019095917432645723,0.0018401916703612556,0.0011268217366908557,0.000657348237029652,0.0003423017078373014,0.0003210961226891557,0.00043998991502739284,0.0035664845917374776,0.0018039260815619134,0.01191224744045698,0.00034550129214817676,0.00010515027777777777,0.003025676168462339,0.0015959558573872318,0.0010775906366040841
1985-08-30 03:00:00,0.0002959014819208676,0.001865072472914683,0.0005362458989327105,0.0012679937119474357,0.0026843052245901083,0.0015788803262399883,0.0020421767940135846,0.0015513995680490101,0.0012866471688733744,0.0006406539544959112,5.906313475177307e-05,0.00023137969593679637,0.000194592976011948,0.003199158165879468,0.0009956484503857845,0.006484475449496708,0.0009996764274522152,0.0001619556002554278,0.0015072013344201614,0.001474660322306245,0.0011179849148621088,0.0010600595561476047,0.001345696408903457,0.0006410497692478121,0.0008279017742073513,0.002130685639791975,0.001152176952240752,0.002254355163621918,0.001687016298732943,0.0009591194416046771,0.0005438215811916106,0.00029104094742063473,0.0003306191667143129,0.0003060569764680708,0.002174052832563331,0.001508613703577614,0.005704331325520259,0.0004945204840114909,0.00012017174603174602,0.0011853872236824178,0.0015945177976890434,0.0010960047376029115
1985-08-30 03:30:00,0.0003922324424189814,0.0016677879961967325,0.0008128007044307789,0.0013633063514649707,0.002784441968923897,0.0015023326219991856,0.007145628267739611,0.0016029674168910742,0.0013139999554557104,0.0006806662525673998,0.00048200663609338065,0.0002533444206281544,0.00018323162271666193,0.0024948150108340837,0.00342153886243791,0.00483471165146097,0.0028862495722277856,0.00015029237978927198,0.0011738791314964765,0.0015882827522304874,0.0022317937849996453,0.0012118846866780205,0.0011833800780151115,0.000690684264775119,0.0010763318619234957,0.0021346426998641466,0.000947114455380428,0.00557405646801041,0.0018511867817677871,0.0010515270022617132,0.0006257049697861422,0.00046331841145833306,0.00034907006451305504,0.00024246941172316415,0.0021416336185914897,0.0018197458647879312,0.004263719033961842,0.002690195384485492,0.00015457090833333333,0.0005957593369883046,0.0017564163660050158,0.0012437494956979386
1985-08-30 04:00:00,0.0005274308724922839,0.002467146962158273,0.0009137728254756648,0.0018057350744148596,0.0022439193341851063,0.0016540998924743076,0.008125115114520349,0.0018336227874143833,0.0015269754041930378,0.001249809778581963,0.013064721018362282,0.002656692061069909,0.0006547699108732825,0.002710773188964875,0.008059632539471992,0.0027015676814766184,0.00488213961947275,0.00029006973180076626,0.000986381822286437,0.0021249076357532145,0.003570064750629162,0.0015986260856996836,0.000997791874533253,0.0010068479813476238,0.001315978904095213,0.0019748229167405873,0.0013172118746457183,0.006229984724663578,0.0018291651775402045,0.0011662724056963713,0.0006481607918200405,0.0005837174560228695,0.0020629268204101284,0.0009117776629001893,0.00192751137429988,0.001883733679588571,0.0026302220349747767,0.0044870021153090795,0.0002541632428571429,0.0006701024281189089,0.0023428920403105714,0.0017242769636545176
1985-08-30 04:30:00,0.0007016886107831255,0.005775165963276917,0.0011845173817670556,0.0020933251928864907,0.002683024370804293,0.001931927247860609,0.009273904772893605,0.002002198420283647,0.002018199835143094,0.0019699346265894526,0.015080979913393418,0.009230559137920312,0.0018591371845892934,0.003088557475796917,0.012406652926835486,0.0013376296501640256,0.008627706055096052,0.00041008608333333333,0.000803865183227624,0.0025100516172267317,0.0056677380336845225,0.0016531653524187613,0.0011857217579973667,0.0010998006172316384,0.0016712912518224857,0.002708018671614019,0.0017295640201218905,0.007182143460551599,0.0018968671984953703,0.0012823506779466953,0.0006690764016595035,0.0007993610643837602,0.00572436864221686,0.0021576133005628564,0.001872309387975223,0.0018588583903590512,0.001354020527719609,0.008593350549079677,0.000340236255952381,0.0007493064136695911,0.0026093373099743138,0.002239260695570027
